,X,Y,nama,kode_rs,tempat_tidur,lat,lon,alamat,tipe,wilayah,city
909,106.137281,-2.137142,RS IBU DAN ANAK DZAKIRAH,1971005,31,-2.137142,106.137281,"BACANG, BUKIT INTAN, PANGKAL PINANG CITY, BANGKA BELITUNG ISLANDS 33684",RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG
681,106.125228,-2.143699,RS UMUM DAERAH DEPATI HAMZAH,1971021,137,-2.143699,106.125228,"JL. SOEKARNO HATTA, BUKITBESAR, KEC. GIRIMAYA, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG 33684",RS_RUJUKAN_NASIONAL,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG
200,106.129599,-2.153145,RS SILOAM BANGKA,1904014,25,-2.153145,106.129599,"JL. SOEKARNO HATTA NO. 6, DUL, KEC. PANGKALAN BARU",RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH
528,107.913,-2.8769, RS UMUM DAERAH  KAB.BELITUNG TIMUR,1906014,100,-2.8769,107.913,JL. RAYA MANGGAR GANTUNG DESA PADANG KECAMATAN MANGGAR,RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR
425,108.065,-2.927, RS UMUM DAERAH KAB. BANGKA SELATAN,1905024,66,-2.927,108.065,   JL. RAYA GADUNG DESA GADUNG KEC. TOBOALI ,RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN
337,106.418993,-2.515336,RS UMUM DAERAH KAB.BANGKA TENGAH,1904013,105,-2.515336,106.418993,"KOBA, KABUPATEN BANGKA TENGAH, KEPULAUAN BANGKA BELITUNG 33681",RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH
396,107.658661,-2.747282,RS UTAMA,1902012,64,-2.747282,107.658661,JALAN JENDERAL SUDIRMAN KM.3 RT.019 RW.008 KELURAHAN LESUNG BATANG TANJUNGPANDAN BELITUNG,RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BELITUNG
395,106.143663,-2.00695,RS UMUM DAERAH DR. (H.C.) IR. SOEKARNO,1901043,93,-2.00695,106.143663,"JL. ZIPUR DESA AIR ANYIR KEC, RIDING PANJANG, MERAWANG, KABUPATEN BANGKA, KEPULAUAN BANGKA BELITUNG 33172",RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BANGKA
346,105.50791,-1.673515,RS GUNUNG MANIK,1903005,30,-1.673515,105.50791,"JL, AIR KUANG, PARITTIGA",RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT
339,106.118346,-1.857887,RS UMUM MEDIKA STANNIA,1901031,86,-1.857887,106.118346,"SUNGAILIAT, SUNGAI LIAT, KABUPATEN BANGKA, KEPULAUAN BANGKA BELITUNG 33215",RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BANGKA
