,X,Y,nama,kode_rs,tempat_tidur,lat,lon,alamat,tipe,wilayah
1314,124.861072,1.4861752509999901,RS UMUM MANADO MEDICAL CENTER,7171102,98,1.486175251,124.861072,JLN. RAJAWALI NO. 8 - KEC. PAAL 2 - KEL. PAAL 2 - KOTA MANADO - 95129,,"KOTA MANADO, SULAWESI UTARA"
1315,104.209287,-3.4429629999999998,RS UMUM FADHILAH KOTA PRABUMULIH,1672002,60,-3.4429629999999998,104.209287,JL. JENDERAL SUDIRMAN NO.01 KEL. PATIH GALUNG KEC. PRABUMULIH BARAT,,"KOTA PRABUMULIH, SUMATERA SELATAN"
1316,119.33491799999999,-2.999295,RS UMUM DAERAH KONDOSAPATA KAB. MAMASA,7603024,76,-2.999295,119.33491799999999,JL. POROS MAMASA-POLEWALI DESA  BALLA KECAMATAN BALLA,,"MAMASA, SULAWESI BARAT"
1317,138.38787969999998,-4.51995601900001,RS PRATAMA ELVRIDA SARA,9229002,2,-4.519956018999999,138.38787969999998,"ALIES YEMBISA, KENYAM NDUGA",,"NDUGA, PAPUA"
1318,118.97896200000001,-3.5354339999999995,RS UMUM DAERAH KABUPATEN MAJENE,7601011,129,-3.5354339999999995,118.97896200000001,"JL. POROS MAJENE-MAMUJU, BANGGAE, MAJENE, SULAWESI BARAT, BARU, BANGGAE, KABUPATEN MAJENE, SULAWESI BARAT",,"MAJENE, SULAWESI BARAT"
1319,106.8434787,-6.1543205,RS UMUM HERMINA KEMAYORAN,3173706,119,-6.1543205,106.8434787,JL. SELANGIT BLOK B.10 KAV NO.4 KEL. GUNUNG SAHARI SELATAN KEC. KEMAYORAN,,"JAKARTA PUSAT, DKI JAKARTA"
1320,106.81341599999999,-6.370687,RS UMUM GRHA PERMATA IBU,3276041,104,-6.370687,106.81341599999999,"JL. K.H.M. USMAN NO.168, KUKUSAN, KECAMATAN BEJI, KOTA DEPOK, JAWA BARAT 16425",,"KOTA DEPOK, JAWA BARAT"
1321,114.14685800000001,-8.376555,RS AL HUDA,3510103,214,-8.376555,114.14685800000001,"JL. RAYA GAMBIRAN NO. 225, DESA GAMBIRAN, KEC. GAMBIRAN, KAB. BANYUWANGI",,"BANYUWANGI, JAWA TIMUR"
1322,112.741199,-7.229866,RS PKU MUHAMMADIYAH SURABAYA,3578793,44,-7.229866,112.741199,JL. KH MAS MANSYUR 180-182 SURABAYA,,"KOTA SURABAYA, JAWA TIMUR"
1323,106.73966000000001,-6.5712600000000005,RS UMUM MEDIKA DRAMAGA,3201236,92,-6.5712600000000005,106.73966000000001,"JL. RAYA DRAMAGA NO.KM. 7,3, RT.01/RW.06, MARGAJAYA, KEC. BOGOR BAR., BOGOR, JAWA BARAT 16680",,"BOGOR, JAWA BARAT"
1324,112.118181,-7.73084,RS UMUM  WILUJENG,3506063,61,-7.73084,112.118181,"JL. JOYOBOYO NO.4 PADANGAN, KEC. KAYEN KIDUL, KEDIRI, JAWA TIMUR 64183",,"KEDIRI, JAWA TIMUR"
1325,112.74119499999999,-7.229871000000001,RS UMUM DAERAH PAGELARAN,3203039,75,-7.229871000000001,112.74119499999999,JL.RAYA PAGELARAN NO 18 DESA PAGELARAN KEC. PAGELARAN KAB. CIANJUR 43266,,"CIANJUR, JAWA BARAT"
1326,117.18363640000001,-0.46217172499999004,RS KHUSUS IBU DAN ANAK QURRATA A'YUN,6472121,28,-0.462171725,117.18363640000001,JL D.I.PANJAITAN NO.77,,"KOTA SAMARINDA, KALIMANTAN TIMUR"
1327,119.42430290000001,-5.130066239,RS KHUSUS GIGI DAN MULUT UNIVERSITAS HASANUDDIN,7371422,4,-5.130066239,119.42430290000001,JL. KANDEA NO. 5,,"KOTA MAKASSAR, SULAWESI SELATAN"
1328,117.532772,0.49838999999999994,RS IBU ANAK ASY SYIFA,6404047,12,0.49838999999999994,117.532772,JL. YOS SUDARSO II NO. 82 - 83 SANGATTA,,"KUTAI TIMUR, KALIMANTAN TIMUR"
1329,117.528172,0.523199,RS UMUM MEDIKA SANGATTA,6404046,104,0.523199,117.528172,"JL. YOS SUDARSO IV NO. 1, SANGATTA",,"KUTAI TIMUR, KALIMANTAN TIMUR"
1330,112.63859599999999,-7.974164,RS IBU DAN ANAK RUMKITBAN 05.08.02 MALANG,3573261,21,-7.974164,112.63859599999999,JL. PANGLIMA SUDIRMAN E-20 MALANG,,"MALANG, JAWA TIMUR"
1331,112.78504,-7.25127,RS MITRA KELUARGA KENJERAN,3578785,55,-7.25127,112.78504,JL. KENJERAN NO. 506 SURABAYA,,"KOTA SURABAYA, JAWA TIMUR"
1332,106.79343999999999,-6.588221000000001,RS IBU DAN ANAK SAWOJAJAR,3201243,20,-6.588221000000001,106.79343999999999,"JL. SAWOJAJAR NO, 9 BOGOR TENGAH KOTA BOGOR",,"BOGOR, JAWA BARAT"
1333,105.25617,-5.44739,RS IBU DAN ANAK RESTU BUNDA,1871439,49,-5.44739,105.25617,"JL. KH. HASYIM ASHARI NO.73, GEDONG PAKUON, KEC. TELUKBETUNG SELATAN, KOTA BANDAR LAMPUNG, LAMPUNG 35221",,"KOTA BANDAR LAMPUNG, LAMPUNG"
1334,107.27336899999999,-6.334556,RS UMUM ROSELA,3215164,53,-6.334556,107.27336899999999,"JL. INTERCHANGE TOL KARAWANG BARAT NO.3, WADAS, KEC. TELUKJAMBE TIM., KABUPATEN KARAWANG, JAWA BARAT 41361",,"KARAWANG, JAWA BARAT"
1335,116.519354,-8.652604,RS LOTIM MEDICAL CENTER,5203025,59,-8.652604,116.519354,"JL. PEJANGGIK, PEJANGGIK, KEC. MATARAM, KOTA MATARAM, NUSA TENGGARA BAR.",,"KOTA MATARAM, NUSA TENGGARA BARAT"
1336,106.79683290000001,-6.166615676,RS GIGI DAN MULUT FKG UNIVERSITAS TRISAKTI,3174527,3,-6.166615676,106.79683290000001,JL. KYAI TAPA NO 260 GROGOL JAKARTA BARAT,,"JAKARTA BARAT, DKI JAKARTA"
1337,110.600844,-7.639541,RS UMUM PKU MUHAMMADIYAH JATINOM KLATEN,3310418,62,-7.639541,110.600844,"JL.RAYA JATINOM-KLATEN KM 01, GENDAREN, JATINOM, KLATEN",,"KLATEN, JAWA TENGAH"
1338,104.73441600000001,-2.949357,RS KHUSUS GIGI DAN MULUT PALEMBANG PROVINSI SUMATE,1671328,11,-2.949357,104.73441600000001,"JL. SUKA JAYA NO.316, SUKA BANGUN, KEC. SUKARAMI, KOTA PALEMBANG, SUMATERA SELATAN 30151",,"KOTA PALEMBANG, SUMATERA SELATAN"
1339,112.662241,-7.299774,RS ORTHOPEDI DAN TRAUMATOLOGI SURABAYA,3578780,22,-7.299774,112.662241,"JL. EMERALD MANSION TX 10, LIDAH KULON, KEC. LAKARSANTRI, KOTA SBY, JAWA TIMUR 60213",,"KOTA SURABAYA, JAWA TIMUR"
1340,117.58259199999999,3.309918,RS UMUM PERTAMEDIKA TARAKAN,6473043,36,3.309918,117.58259199999999,"JL. MULAWARMAN RT 05 NO 14 KAP KECAMATAN TARAKAN BARAT, TARAKAN, KALIMANTAN UTARA",,"KOTA TARAKAN, KALIMANTAN UTARA"
1341,116.87284720000001,-1.23847393,RS UMUM BALIKPAPAN BARU,6471077,63,-1.23847393,116.87284720000001,JL. MT.HARYONO KOMPLEK PERUMAHAN BALIKPAPAN BARU BLOK A.3A NO.7-9,,"KOTA BALIKPAPAN, KALIMANTAN TIMUR"
1342,116.8704,-1.25221289799999,RS SILOAM HOSPITALS BALIKPAPAN,6471075,150,-1.252212898,116.8704,JL. MT. HARYONO DALAM NO. 23,,"KOTA BALIKPAPAN, KALIMANTAN TIMUR"
1343,98.5101,3.16665,RS UMUM AMANDA,1211126,84,3.16665,98.5101,JL JAMIN GINTING SIMPANG KORPRI NO. 1 BERASTAGI,,"KARO, SUMATERA UTARA"
1344,128.009714,1.7306290000000002,RS BETHESDA GMIH TOBELO,8205033,42,1.7306290000000002,128.009714,"JL. KEMAKMURAN, GAMSUNGI, TOBELO, KABUPATEN HALMAHERA UTARA, MALUKU UTARA",,"HALMAHERA UTARA, MALUKU UTARA"
1345,106.8169496,-6.1439513,RS UMUM DAERAH TAMAN SARI,3174525,52,-6.1439513,106.8169496,JALAN MADU RT/RW 03/03 NO.10 MANGGA BESAR TAMAN SARI JAKARTA BARAT 11180,,"JAKARTA BARAT, DKI JAKARTA"
1346,111.09663400000001,-6.66184750100001,RS UMUM AS-SUYUTHIYYAH,3318113,46,-6.6618475010000004,111.09663400000001,JL. RAYA JUWANA - TAYU KM. 7 GUYANGAN TRANGKIL PATI JAWA TENGAH,,"PATI, JAWA TENGAH"
1347,111.147232,-6.710494000000001,RS UMUM  BUDI AGUNG PATI,3318109,47,-6.710494000000001,111.147232,"JALAN BAJO NO.7, JUWANA, KANDANGAYAM, KUDUKERAS, KEC. PATI, KABUPATEN PATI, JAWA TENGAH 59185",,"PATI, JAWA TENGAH"
1348,110.365827,-7.838586,RS UMUM GRIYA MAHARDIKA YOGYAKARTA,3402077,66,-7.838586,110.365827,"JL. PARANGTRITIS, KM. 4,5, GG. WIJAYA KUSUMA NO.212, DRUWO, BANGUNHARJO, KEC. SEWON, BANTUL, DAERAH ISTIMEWA YOGYAKARTA 55187",,"BANTUL, DAERAH ISTIMEWA YOGYAKARTA"
1349,109.27472,-7.592460000000001,RS UMUM MEDIKA LESTARI BANYUMAS,3302227,71,-7.592460000000001,109.27472,"JL. RAYA BUNTU GOMBONG KM 1, JATILARANGAN SELATAN, PAGERALANG, KEC. KEMRANJEN, KABUPATEN BANYUMAS, JAWA TENGAH 53194",,"BANYUMAS, JAWA TENGAH"
1350,112.74288,-7.329516,RS IBU DAN ANAK PERDANA MEDICA,3578784,25,-7.329516,112.74288,"JL RAYA KUTISARI NO. 6  SIWALANKERTO, KEC. WONOCOLO, KOTA SBY, JAWA TIMUR 60291",,"KOTA SURABAYA, JAWA TIMUR"
1351,108.433305,-6.709239,RS JANTUNG HASNA MEDIKA,3274136,47,-6.709239,108.433305,"JL. RADEN GILAP NO 8 PALIMANAN, KABUPATEN CIREBON",,"CIREBON, JAWA BARAT"
1352,95.4479,5.4099699999999995,RS UMUM IBNU SINA,1108017,45,5.4099699999999995,95.4479,"JL. BANDA ACEH-MEDAN KM 25,5 KECAMATAN INDRAPURI, KABUPATEN ACEH BESAR, PROVINSI ACEH.",,"ACEH BESAR, ACEH"
1353,107.43968500000001,-6.531658999999999,RS UMUM KARINA MEDIKA,3214040,73,-6.531658999999999,107.43968500000001,JL BARU KP. KRAJAN RT 01 RW 01 KEC. BABAKANCIKAO KAB. PURWAKARTA 41151,,"PURWAKARTA, JAWA BARAT"
1354,98.85961191,3.55175971599999,RS UMUM YOSHUA,1212177,28,3.5517597160000003,98.85961191,JL. MEDAN LUBUK PAKAM N0. 70,,"DELI SERDANG, SUMATERA UTARA"
1355,113.4745088,-7.15753938,RS IBU DAN ANAK MUKTI HUSADA,3528026,36,-7.15753938,113.4745088,JL. KABUPATEN NO. 68 PAMEKASAN,,"PAMEKASAN, JAWA TIMUR"
1356,98.75103100000001,3.6648330000000002,RS UMUM JOKO,1212176,50,3.6648330000000002,98.75103100000001,JL SUDIRMAN DESA CINTA RAKYAT PERCUT SEI TUAN,,"DELI SERDANG, SUMATERA UTARA"
1357,112.69311499999999,-7.853324000000001,RS LAWANG MEDIKA,3507105,48,-7.853324000000001,112.69311499999999,"JL. DR. CIPTO NO.8, SENGKKRAJAN, BEDALI, KEC. LAWANG, MALANG, JAWA TIMUR 65215",,"MALANG, JAWA TIMUR"
1358,111.740738,-0.336955,RS UMUM CITRA HUSADA NANGA PINOH,6110013,55,-0.336955,111.740738,"JL. DHARMA BAKTI NO.45C, TJ. NIAGA, NANGA PINOH, KABUPATEN MELAWI, KALIMANTAN BARAT 79672",,"MELAWI, KALIMANTAN BARAT"
1359,109.32972,-0.037623000000000004,RS  MITRA MEDIKA PONTIANAK,6171141,103,-0.037623000000000004,109.32972,JLN. SULTAN ABDURRAHMAN NO. 25 KELURAHAN SUNGAI BANGKONG KECAMATAN PONTIANAK KOTA,,"KOTA PONTIANAK, KALIMANTAN BARAT"
1360,113.86254939999999,-7.01482855600001,RS IBU DAN ANAK ESTO EBHU,3529026,30,-7.014828556,113.86254939999999,"JL. DR. CIPTO NO.38, GUDANG, KOLOR, KOTASUMENEP, KABUPATEN SUMENEP, JAWA TIMUR 69417",,"SUMENEP, JAWA TIMUR"
1361,100.592428,-0.451822,RS IBU DAN ANAK SAYANG IBU,1305015,20,-0.451822,100.592428,"JL. DR. HAMKA 273, BATUSANGKAR, BARINGIN, LIMA KAUM, TANAH DATAR REGENCY, WEST SUMATRA 27211",,"TANAH DATAR, SUMATERA BARAT"
1362,112.69141699999999,-7.353075,RS MATA FATMA,3515136,25,-7.353075,112.69141699999999,"JL. RAYA KALIJATEN NO.40, KALIJATEN TIMUR, KALIJATEN, KEC. TAMAN, KABUPATEN SIDOARJO, JAWA TIMUR 61257",,"SIDOARJO, JAWA TIMUR"
1363,117.49117199999999,0.134608,RS AMALIA BONTANG,6474033,49,0.134608,117.49117199999999,JL. R. SOEPRAPTO NO. 22 BONTANG - KALIMANTAN TIMUR,,"KOTA BONTANG, KALIMANTAN TIMUR"
1364,98.61295762,3.5784950839999996,RS UMUM BINA KASIH,1275997,268,3.5784950839999996,98.61295762,JL JEND. TB.SIMATUPANG NO.148 SUNGGAL,,"KOTA MEDAN, SUMATERA UTARA"
1365,98.4864294,3.60281980799999,RS UMUM AL FUADI,1276078,101,3.602819808,98.4864294,JL AHMAD YANI NO 23,,"KOTA BINJAI, SUMATERA UTARA"
1366,101.45473100000001,0.513951,RS IBU DAN ANAK  ZAINAB,1471387,72,0.513951,101.45473100000001,JL RONGGO WARSITO I NO 01,,"KOTA PEKANBARU, RIAU"
1367,98.59354268,3.668204127,RS UMUM KELIAT,1212174,55,3.668204127,98.59354268,JL SUTAN ARAB NO. 3 DUSUN 2 KLUMPANG KAMPUNG,,"DELI SERDANG, SUMATERA UTARA"
1368,109.3334892,-7.100658382000001,RS UMUM MUHAMMADIYAH MARDHATILLAH,3327047,74,-7.100658382000001,109.3334892,JL. JEND. SUDIRMAN TIMUR KECAMATAN RANDUDONGKAL,,"PEMALANG, JAWA TENGAH"
1369,110.698163,-7.773396000000001,RS UMUM ISLAM CAWAS KLATEN,3310417,54,-7.773396000000001,110.698163,JL. RAYA TUGU-CAWAS KLATEN,,"KLATEN, JAWA TENGAH"
1370,119.4592285,-5.183949315,RS UMUM BAHAGIA,7371407,56,-5.183949315,119.4592285,"JL. MINASA UPA NO.9, GN. SARI, KEC. RAPPOCINI, KOTA MAKASSAR, SULAWESI SELATAN 42111",,"KOTA MAKASSAR, SULAWESI SELATAN"
1371,99.609725,2.983717,RS UMUM BUNDA MULIA,1208059,31,2.983717,99.609725,JL ABDI SETIA BAKTI KEL. SEI RENGGAS KEC. KOTA KISARAN BARAT,,"ASAHAN, SUMATERA UTARA"
1372,110.70113700000002,-7.613752000000001,RSU PKU MUHAMMADIYAH DELANGGU,3310416,172,-7.613752000000001,110.70113700000002,JLN RAYA DELANGGU UTARA NO 19 DELANGGU KLATEN,,"KLATEN, JAWA TENGAH"
1373,106.614946,-6.19536,RS TIARA,3671214,57,-6.19536,106.614946,"JALAN BERINGIN RAYA NO.3,4,5 KEL.NUSA JAYA. KEC.KARAWACI",,"TANGERANG, BANTEN"
1374,98.70325,3.574914,RS UMUM MADANI,1275909,127,3.574914,98.70325,JL A. R. HAKIM NO. 168 MEDAN,,"KOTA MEDAN, SUMATERA UTARA"
1375,105.271009,-5.429844999999999,RS IBU DAN ANAK BUNDA ASY SYIFA,1871446,28,-5.429844999999999,105.271009,JL. DR.SUSILO NO.54 PAHOMAN BANDAR LAMPUNG,,"KOTA BANDAR LAMPUNG, LAMPUNG"
1376,101.05516,-2.106416,RS UMUM DAERAH TAPAN,1302013,50,-2.106416,101.05516,KAMPUNG AIR DINGIN NAGARI BUKIT BUAI TAPAN KECAMATAN BASA AMPEK BALAI TAPAN,,"SOLOK SELATAN, SUMATERA BARAT"
1377,112.069985,-7.917662,RS UMUM MUHAMMADIYAH SURYA MELATI,3506047,51,-7.917662,112.069985,"JL. NGADILUWIH WATES DESA NO.KM. 10, NGLETIH TIMUR, NGLETIH, KEC. KANDAT, KEDIRI, JAWA TIMUR 64173",,"KEDIRI, JAWA TIMUR"
1378,112.231067,-7.482749,RS AL-AZIS,3517093,49,-7.482749,112.231067,"JL. RAYA TEMBELANG NO.40, TEMBELANG, KEC. TEMBELANG, KABUPATEN JOMBANG, JAWA TIMUR 61452",,"JOMBANG, JAWA TIMUR"
1379,106.814798,-6.190905,RS UMUM DAERAH TANAH ABANG,3173705,26,-6.190905,106.814798,"JALAN K.H. MAS MANSYUR NO. 30 KELURAHAN KEBON KACANG KECAMATAN TANAH ABANG, JAKARTA PUSAT",,"JAKARTA PUSAT, DKI JAKARTA"
